title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип аренды,Тип здания,Парковка,lat,lon,Отдельный вход,Высота потолков,Мощность электросети,Отопление,Минимальный срок аренды,Удалённость от дороги,Аренда части,Планировка,Класс здания,Количество парковочных мест,Арендные каникулы,Платежи включены
"Свободного назначения, 138.7 м²",180310,"Волочаевская ул., 4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_138.7_m_4470813296?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,25 декабря 2024,со двора,138.7 м²,1,чистовая,прямая,жилой дом,на улице,55.788991,49.172638,,2.7 м,20 кВт,центральное,11 мес.,вторая линия и дальше,,,,,,
"Торговая площадь, 33 м²",20000,"ул. Губкина, 20пгт. Актюбинский",https://www.avito.ru/aktyubinskiy/kommercheskaya_nedvizhimost/torgovaya_ploschad_33_m_4471058001?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,24 декабря 2024,с улицы,33 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",54.81220213947035,52.80335300661545,есть,3 м,"30 кВт, можно увеличить",,12 мес.,,возможна,,,10,есть,"коммунальные, эксплуатационные"
"Помещение под салон красоты, маникюр, офис, пвз 61",91800,"ул. Профессора Камая, 10к4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_pod_salon_krasoty_manikyur_ofis_pvz_61_4497479644?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,24 декабря 2024,с улицы,40 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.748772,49.182124,,2.8 м,"16 кВт, можно увеличить",,11 мес.,,,,,,есть,
"Сдам торговое помещение, 150 м²",150000,"Техническая ул., 41АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_torgovoe_pomeschenie_150_m_4327591099?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,20 декабря 2024,с улицы,150 м²,1,чистовая,прямая,административное здание,на улице,55.758615,49.128656,,3 м,,,,,,,,,,
"Торговая площадь, хороший трафик, 21 кв.м",90000,"ул. Максимова, 2АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_horoshiy_trafik_21_kv.m_4537381640?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,20 декабря 2024,с улицы,21 м²,1,чистовая,прямая,торговый центр,на улице,55.859979,49.100844,есть,3 м,15 кВт,,,,,,,,,
"Торговая площадь, 107 кв. м",107000,"ул. Гаврилова, 56к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_107_kv._m_4536974919?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,20 декабря 2024,с улицы,107 м²,1,чистовая,прямая,жилой дом,на улице,55.84117,49.158121,есть,3 м,15 кВт,,,,,,,,,
"Помещение в бизнес-центре, 70 м²",1000,"ул. Красного Химика, 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_biznes-tsentre_70_m_4328417777?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,19 декабря 2024,с улицы,70 м²,1,чистовая,прямая,бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",55.801946,49.064094,есть,,,,,первая линия,возможна,,,,,"коммунальные, эксплуатационные"
"Помещение на трафике, 114 м²",100000,"ул. Галии Кайбицкой, 15Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_na_trafike_114_m_4536810349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,17 декабря 2024,с улицы,114 м²,1,чистовая,прямая,административное здание,на улице,55.780674,49.234271,,3 м,30 кВт,,,,,,,,,
"Торговая площадь на трафике, 70 кв.м",77770,"Краснококшайская ул., 119Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_na_trafike_70_kv.m_4537141809?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,17 декабря 2024,с улицы,70 м²,1,чистовая,прямая,жилой дом,на улице,55.815929,49.06555,,3.4 м,8 кВт,,,,,,,,,
"Свободного назначения, 115.6 м²",150280,"пр-т Мусы Джалиля, 45Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_115.6_m_4464971446?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,16 декабря 2024,с улицы,115.6 м²,1,офисная,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.693064,52.308405,есть,,,,12 мес.,,возможна,,,,есть,
Торговая площадь 100м,95000,"Актайская ул., 17Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_100m_4328038846?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,16 декабря 2024,с улицы,100 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.74365234,49.1395607,есть,3.5 м,15 кВт,,11 мес.,,,,,,есть,эксплуатационные
"Большой пешеходный трафик, 74м центр города",250000,"Вахитовский район, ул. Татарстан, 7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/bolshoy_peshehodnyy_trafik_74m_tsentr_goroda_4327614205?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,16 декабря 2024,с улицы,74 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.7807741823177,49.11431913749137,есть,3.5 м,13 кВт,,11 мес.,,,,,15,есть,эксплуатационные
Свободного назначения,11000,"ул. Ленина, 27Бавлы",https://www.avito.ru/bavly/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_4527360666?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,13 декабря 2024,с улицы,18 м²,1,офисная,прямая,административное здание,"на улице, бесплатная",54.40599970836944,53.22988789578369,есть,2.5 м,,,6 мес.,,,,,,есть,коммунальные
"Торговый павильон ост.Глушко, 65 м²",100000,"пр-т Победы, 172БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovyy_pavilon_ost.glushko_65_m_4666948025?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,13 декабря 2024,с улицы,65 м²,1,без отделки,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.78872299,49.22117233,есть,2.8 м,"15 кВт, можно увеличить",,6 мес.,,,,,15,есть,
"Свободного назначения, 81.5 м²",1500,"Автозаводский пр-т, 59АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_81.5_m_4508887958?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVaVR0VHRFSUQwOERPRVZHIjt9Lub7iD8AAAA,13 декабря 2024,с улицы,81.5 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.76320716017739,52.413753279762254,есть,3.5 м,"15 кВт, можно увеличить",центральное,11 мес.,первая линия,,,,10,есть,
Помещение с ремонтом 113 м,125000,"ул. Генерала Махмута Гареева, 7АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_s_remontom_113_m_4542282057?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,12 декабря 2024,с улицы,113 м²,1,чистовая,прямая,жилой дом,на улице,55.85832596,48.90763474,,,20 кВт,,,,,,,,есть,
"Помещение свободного назначения в ЖК Достояние, 23,5 м2",94000,"Дорожная ул., 35с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_v_zhk_dostoyanie_235_m2_4505080741?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,12 декабря 2024,с улицы,23.5 м²,1,чистовая,прямая,другой,на улице,55.875188,48.86748,,4 м,20 кВт,,,,,,,,есть,
Сдается помещение 86 м2; Егорова д.3,129000,"ул. Егорова, 3с. Высокая Гора",https://www.avito.ru/vysokaya_gora/kommercheskaya_nedvizhimost/sdaetsya_pomeschenie_86_m2_egorova_d.3_4505448947?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,11 декабря 2024,с улицы,86 м²,1,без отделки,прямая,жилой дом,на улице,55.899512,49.327903,,3.5 м,7 кВт,,,,,,,,есть,
"Склад, 110 м²",82500,"ул. Адоратского, 63Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_110_m_4634815047?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,11 декабря 2024,со двора,110 м²,1,чистовая,прямая,административное здание,на улице,55.84433519632659,49.14609507167716,есть,6 м,30 кВт,автономное,11 мес.,,,,,5,есть,
"Торговая площадь, 50 м²",1500,"ул. Мамадышский Тракт, 35ЕКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_50_m_4450695378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,10 декабря 2024,с улицы,50 м²,1,чистовая,прямая,торговый центр,на улице,55.80158856554382,49.25949955687679,,,,,,,,,,,есть,
"Массажный кабинет, офис, юр адрес 18 м²",27000,"ул. Профессора Камая, 10к4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/massazhnyy_kabinet_ofis_yur_adres_18_m_4465302580?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,9 декабря 2024,со двора,15 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.748772,49.182124,есть,3 м,17 кВт,,2 мес.,,,,,,есть,
"Аренда помещения свободного назначения, 129 м²",500,"Мензелинский тракт, 52Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/arenda_pomescheniya_svobodnogo_naznacheniya_129_m_4486586848?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,7 декабря 2024,с улицы,129 м²,1,чистовая,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.695119,52.415987,есть,,,автономное,,первая линия,,,,,,
Торговая площадь,800,"ул. Сельхозтехника, 1Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/torgovaya_ploschad_4373848489?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,6 декабря 2024,с улицы,77.4 м²,1,офисная,прямая,другой,"на улице, бесплатная",54.52334343768667,52.841490775597336,есть,2.8 м,15 кВт,,60 мес.,,,,,,есть,
Сдаются торговые площади от 37 до 282 кв.м,1150,"ул. Добролюбова, 8АЛениногорск",https://www.avito.ru/leninogorsk/kommercheskaya_nedvizhimost/sdayutsya_torgovye_ploschadi_ot_37_do_282_kv.m_4962254014?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,6 декабря 2024,с улицы,1 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",54.60164718935418,52.4627478962879,есть,3.5 м,150 кВт,,11 мес.,,возможна,,,25,есть,
Торговая площадь,25000,"ул. Энгельса, 102Чистополь",https://www.avito.ru/chistopol/kommercheskaya_nedvizhimost/torgovaya_ploschad_4962151841?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,6 декабря 2024,с улицы,29 м²,1,чистовая,прямая,жилой дом,на улице,55.366601553965985,50.60724965079668,есть,3 м,,,,,,,,,есть,
"Торговая, от 60 до 127 м²",1000,"Набережночелнинский пр-т, 70/56Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ot_60_do_127_m_4664203293?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,5 декабря 2024,с улицы,1 м²,1,чистовая,прямая,административное здание,"на улице, бесплатная",55.7191,52.375177,есть,3.5 м,"15 кВт, можно увеличить",,,,,,,20,есть,
"Торговая, от 70 до 1000 м²",1000,"пр-т Абдурахмана Абсалямова, 14Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ot_70_do_1000_m_4663902651?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,5 декабря 2024,с улицы,1 м²,1,без отделки,прямая,административное здание,"на улице, бесплатная",55.75663214792205,52.475156710247546,есть,4 м,"149 кВт, можно увеличить",,,,возможна,,,20,есть,
Свободного назначения,2800,"ул. Касаткина, 23Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_4277436784?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,5 декабря 2024,с улицы,94.5 м²,1,без отделки,прямая,жилой дом,на улице,55.80076024034143,49.12168064591832,есть,3.5 м,,,12 мес.,,,,,,есть,
"Торговая площадь, 25 м²",50000,"пр-т Ямашева, 93Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_25_m_4579720677?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,4 декабря 2024,с улицы,25 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.826028,49.148805,,4 м,15 кВт,,11 мес.,,,,,,есть,
Новое помещение 1-ый этаж,42000,"ул. Братьев Батталовых, 20/1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/novoe_pomeschenie_1-yy_etazh_4382634351?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,3 декабря 2024,со двора,47 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная",55.72159958,49.1876297,есть,3 м,5 кВт,,11 мес.,,,,,5,есть,
Торговая площадь,35000,"ул. М. Гафури, 1с. Муслюмово",https://www.avito.ru/muslyumovo/kommercheskaya_nedvizhimost/torgovaya_ploschad_4817727245?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,3 декабря 2024,с улицы,52 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.30639926760214,53.21000238150833,есть,4.6 м,,,,,,,,15,есть,"коммунальные, эксплуатационные"
Помещение пустое без оборудования,84000,"Набережночелнинский пр-т, 80Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/pomeschenie_pustoe_bez_oborudovaniya_4450832876?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,2 декабря 2024,с улицы,70 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.72019114897847,52.377139358004825,есть,2.8 м,30 кВт,,11 мес.,,,,,,есть,
"Торговая площадь, 20 м²",1500,"пр-т Нефтяников, 10Ас1Елабуга",https://www.avito.ru/elabuga/kommercheskaya_nedvizhimost/torgovaya_ploschad_20_m_4713908907?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,30 ноября 2024,с улицы,20 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.748933765213735,52.0101561413341,есть,3.5 м,"15 кВт, можно увеличить",,,,возможна,,,10,есть,
Аренда Помещение свободного назначения 121.1 м²,207150,"Танковая ул., 2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_pomeschenie_svobodnogo_naznacheniya_121.1_m_4264387989?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,29 ноября 2024,со двора,138.1 м²,1,без отделки,прямая,жилой дом,в здании,55.752242,49.167059,,3.5 м,,,,,,,,,,
Первая линия,95000,"Тэцевская ул., 4ДКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_4785937086?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,28 ноября 2024,с улицы,114.5 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.85099792,49.06251144,есть,3 м,20 кВт,,,,,,,20,есть,
"Офис, 118 м²",2000,"ул. Мансура Хасанова, 15Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_118_m_4473495380?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,28 ноября 2024,,118 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.778504702641015,49.184388267221365,,4 м,4 кВт,,,,,кабинетная,,,,
"Торговая площадь, 128.5 м²",1200,"ул. Гагарина, 7ВНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_128.5_m_4714030499?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,27 ноября 2024,с улицы,128.5 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная",55.642962,51.837706,есть,,,центральное,11 мес.,первая линия,,,,,есть,
"Свободного назначения, 10 м²",20000,"ул. Декабристов, 193Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_10_m_4445237376?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,27 ноября 2024,с улицы,10 м²,1,офисная,субаренда,другой,на улице,55.835417,49.078351,,,,,11 мес.,,,,,,,коммунальные
"Торговое помещение на 1 этаже в БЦ, 78,5м²",1500,"ул. Сибирский Тракт, 34к4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_na_1_etazhe_v_bts_785m_4263844705?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,26 ноября 2024,с улицы,78.5 м²,1,офисная,прямая,бизнес-центр,"на улице, подходит для грузового транспорта",55.81692,49.183858,,,,,,,,,,,,
"Офис на 1 этаже в бизнес-центре, 39 м²",1600,"ул. Сибирский Тракт, 34к4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_na_1_etazhe_v_biznes-tsentre_39_m_4264414369?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,26 ноября 2024,,39 м²,1,офисная,прямая,бизнес-центр,"на улице, подходит для грузового транспорта",55.81692,49.183858,,,,,,,,кабинетная,,,,
Сдается помещение на первой линии на гвардейской,161100,"Гвардейская ул., 35Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdaetsya_pomeschenie_na_pervoy_linii_na_gvardeyskoy_4473305289?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,25 ноября 2024,с улицы,53.7 м²,1,без отделки,прямая,административное здание,нет,55.78482,49.171587,есть,3 м,,,,,,,,,,
"Свободного назначения, 10 м²",600,"ул. Айдарова, 8БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_10_m_4494828191?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,25 ноября 2024,с улицы,10 м²,1,офисная,прямая,торговый центр,на улице,55.8686676,49.09018326,,2.3 м,,,,,,,,,есть,
"Свободного назначения, 65 м²",70000,"пр-т Альберта Камалеева, 8Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_65_m_4361125647?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,25 ноября 2024,с улицы,65 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.79102,49.183175,есть,2.8 м,,центральное,,первая линия,возможна,,,5,,
"Свободного назначения, 30 м²",995,"Машиностроительная ул., 121Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_30_m_4407216486?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,24 ноября 2024,с улицы,30 м²,1,чистовая,прямая,другой,"на улице, бесплатная",55.746517,52.463733,есть,2.3 м,15 кВт,,,первая линия,возможна,,,100,есть,эксплуатационные
Магазин ПСН офис,170000,"ул. Достоевского, 40Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/magazin_psn_ofis_4603106963?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,22 ноября 2024,с улицы,108 м²,1,офисная,прямая,жилой дом,на улице,55.787938,49.149048,есть,4 м,,,,,,,,,есть,
"Торговая площадь на трафике, офис, 64 кв.м",120000,"ул. Копылова, 5/1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_na_trafike_ofis_64_kv.m_4440895552?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4eGZWZmdvWUJvUFdCTW1sIjt9jQZcRz8AAAA,21 ноября 2024,с улицы,64 м²,1,чистовая,прямая,жилой дом,на улице,55.853375,49.08366,,2.7 м,7 кВт,,,,,,,,,
