title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип сделки,Арендаторы,Тип здания,Парковка,lat,lon,Высота потолков,Мощность электросети,Планировка,Готовность,Класс здания,Отдельный вход,Отопление,Удалённость от дороги,Количество парковочных мест,city,street,total_price,price_per_meter,is_per_meter_price
"Свободного назначения, 38 м²",5700000,"ул. 30 лет Победы, 21Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_38_m_4544819590?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,22 января 10:17,с улицы,38.0,1.0,чистовая,продажа,,торговый центр,"на улице, бесплатная",55.63164261787446,51.78964689057665,,45 кВт,,строится,,есть,центральное,вторая линия и дальше,,Нижнекамск,ул. 30 лет Победы,5700000.0,150000.0,False
Свободного назначения,6700000,"ул. Мусы Джалиля, 28Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_4373490576?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,22 января 00:16,с улицы,38.0,1.0,офисная,продажа,помещение сдано,жилой дом,на улице,54.90264598762525,52.29171573211666,2.2 м,380 кВт,,в эксплуатации,,есть,центральное,первая линия,,Альметьевск,ул. Мусы Джалиля,6700000.0,176315.7894736842,False
"Здание, 761.7 м²",114150000,"2-я Даурская ул., 2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_761.7_m_4544644577?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,17 января 17:49,с улицы,761.7,,чистовая,продажа,,торговый центр,"на улице, бесплатная",55.762601,49.165227,,50 кВт,,в эксплуатации,,есть,автономное,,,Казань,2-я Даурская ул.,114150000.0,149862.1504529342,False
Продам складской комплекс 4374 м2,380340000,20Ас. Новая Тура,https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/prodam_skladskoy_kompleks_4374_m2_4568892689?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,17 января 17:33,с улицы,4374.0,1.0,чистовая,продажа,,другой,на улице,55.85911,48.844959,12 м,,,,,,,,,Новая Тура,20Ас.,380340000.0,86954.73251028807,False
"Бугульма, Ямашева 8",14400000,"ул. Хусаина Ямашева, 8Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/bugulma_yamasheva_8_4882329213?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,16 января 16:09,с улицы,159.9,1.0,чистовая,продажа,,жилой дом,"на улице, бесплатная",54.53580392628911,52.8035363422854,,,,в эксплуатации,,есть,центральное,первая линия,,Бугульма,ул. Хусаина Ямашева,14400000.0,90056.2851782364,False
"Торговая площадь, 68 м²",7650000,"пр-т Мира, 63БНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_68_m_4547484284?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,16 января 15:39,с улицы,68.0,1.0,офисная,продажа,,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.644328,51.805088,5 м,,,в эксплуатации,,есть,центральное,первая линия,50.0,Нижнекамск,пр-т Мира,7650000.0,112500.0,False
Готовый Бизнес,19000000,"ул. Академика Лаврентьева, 11АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gotovyy_biznes_4731401487?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,16 января 14:39,с улицы,800.0,1.0,офисная,продажа,,другой,в здании,55.83293,49.150647,2.8 м,15 кВт,,,A,есть,,,,Казань,ул. Академика Лаврентьева,19000000.0,23750.0,False
"Здание, 1279 м²",80900000,"пр-т Вахитова, 46Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/zdanie_1279_m_4653909895?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,14 января 15:52,с улицы,1279.0,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.75595616553638,52.40735754069182,3.5 м,"100 кВт, можно увеличить",,в эксплуатации,,есть,центральное,,30.0,Набережные Челны,пр-т Вахитова,80900000.0,63252.541047693514,False
"Помещение с арендаторами на ул. Баки Урманче, д.9",54000000,"ул. Баки Урманче, 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_s_arendatorami_na_ul._baki_urmanche_d.9_4691775029?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,13 января 17:41,с улицы,221.6,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.729965,49.176096,2.7 м,50 кВт,,в эксплуатации,,есть,центральное,,,Казань,ул. Баки Урманче,54000000.0,243682.31046931408,False
"Медцентр, спортзал, кафе (гб) 305 м²",57000000,"пр-т Ильгама Шакирова, 2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/medtsentr_sportzal_kafe_gb_305_m_4503103552?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,11 января 18:51,с улицы,305.0,1.0,офисная,продажа,помещение сдано,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.85596023866988,48.90971833862301,4 м,"25 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,5.0,Казань,пр-т Ильгама Шакирова,57000000.0,186885.24590163934,False
Свободного назначения,25000000,"ул. Айдарова, 6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_4761830898?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,10 января 19:28,с улицы,146.0,1.0,чистовая,продажа,,жилой дом,"на улице, бесплатная",55.86865234,49.09075546,3 м,220 кВт,,в эксплуатации,,есть,центральное,вторая линия и дальше,,Казань,ул. Айдарова,25000000.0,171232.87671232875,False
"Свободного назначения, 93.9 м²",7500000,"посёлок ГЭС, Комсомольская наб., 30Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_93.9_m_4460812298?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,10 января 10:37,с улицы,93.9,1.0,чистовая,продажа,,жилой дом,на улице,55.693347718944864,52.29662084921265,,,,в эксплуатации,,,центральное,,,Набережные Челны,"посёлок ГЭС, Комсомольская наб.",7500000.0,79872.20447284344,False
"Здание, 3782 м²",260000000,"ул. Восстания, 100к5030Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_3782_m_4360275174?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,9 января 15:06,со двора,3782.0,,офисная,продажа,помещение сдано,административное здание,"на улице, бесплатная, подходит для грузового транспорта",55.832909,49.041008,5 м,300 кВт,,в эксплуатации,,есть,центральное,,10.0,Казань,ул. Восстания,260000000.0,68746.69487043892,False
"Свободного назначения, 25 м²",6850000,"ул. Марата Ахметшина, 1с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_25_m_4809708100?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,9 января 13:48,с улицы,25.0,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.868369,48.875098,2.8 м,21 кВт,,в эксплуатации,,есть,центральное,первая линия,10.0,Осиново,"ул. Марата Ахметшина, 1с.",6850000.0,274000.0,False
"Здание, 40 м²",5000000,"ул. Крайнова, 59Ас. Базарные Матаки",https://www.avito.ru/bazarnye_mataki/kommercheskaya_nedvizhimost/zdanie_40_m_4729669711?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,4 января 15:15,с улицы,40.0,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная",54.902682,49.921725,,,,в эксплуатации,,есть,,,,Базарные Матаки,"ул. Крайнова, 59Ас.",5000000.0,125000.0,False
Коммерческое помещение,8500000,"ул. Железнодорожников, 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kommercheskoe_pomeschenie_4621699390?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,2 января 20:58,,93.0,1.0,офисная,продажа,помещение сдано,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.82124202448183,48.89341233950222,,,"кабинетная, открытая",в эксплуатации,,,,,,Казань,ул. Железнодорожников,8500000.0,91397.84946236559,False
Коммерческая недвижимость 130 м² с арендатором,15000000,"ул. Крайнова, 59Ас. Базарные Матаки",https://www.avito.ru/bazarnye_mataki/kommercheskaya_nedvizhimost/kommercheskaya_nedvizhimost_130_m_s_arendatorom_4729595491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,1 января 10:21,,120.0,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная",54.902682,49.921725,,,,в эксплуатации,,,,,,Базарные Матаки,"ул. Крайнова, 59Ас.",15000000.0,125000.0,False
"Свободного назначения, 55.22 м²",16566000,"жилой комплекс Статный, 2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_55.22_m_4622097733?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,26 декабря 2024,с улицы,55.22,1.0,без отделки,продажа,,жилой дом,на улице,55.817026,49.199578,4 м,,,строится,,,,,,Казань,жилой комплекс Статный,16566000.0,300000.0,False
"Свободного назначения, 70.68 м²",21204000,"жилой комплекс Статный, 2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_70.68_m_4621701100?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,26 декабря 2024,со двора,70.68,1.0,без отделки,продажа,,жилой дом,на улице,55.817026,49.199578,4 м,,,строится,,,,,,Казань,жилой комплекс Статный,21204000.0,300000.0,False
"Свободного назначения, 83.71 м²",25113000,"жилой комплекс Статный, 2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_83.71_m_4622055370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmUnl2b0ZmZ0dNaTFQSlRkIjt9FQnwPz8AAAA,26 декабря 2024,со двора,83.71,1.0,без отделки,продажа,,жилой дом,на улице,55.817026,49.199578,,,,в эксплуатации,,,,,,Казань,жилой комплекс Статный,25113000.0,300000.0,False
"Торговая площадь, 674.1 м²",40000000,"Солнечная ул., 15Дс. Базарные Матаки",https://www.avito.ru/bazarnye_mataki/kommercheskaya_nedvizhimost/torgovaya_ploschad_674.1_m_4730234584?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,26 декабря 2024,с улицы,674.1,1.0,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная",54.912641,49.924573,,,,в эксплуатации,,,центральное,первая линия,,Базарные Матаки,"Солнечная ул., 15Дс.",40000000.0,59338.37709538644,False
"Свободного назначения, 75 м²",13800000,"Детский пр., 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_75_m_4497218142?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,25 декабря 2024,с улицы,75.0,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.67949465679427,49.20066550760595,2.8 м,"8 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,6.0,Казань,Детский пр.,13800000.0,184000.0,False
"Продажа производственно складского помещения, 3618 кв.м",389900000,"Двориков пр., 5с. Набережные Моркваши",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodazha_proizvodstvenno_skladskogo_pomescheniya_3618_kv.m_4327876261?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,25 декабря 2024,с улицы,3618.0,1.0,чистовая,продажа,,административное здание,на улице,55.756229,48.826068,7 м,,,,,,,,,Набережные Моркваши,"Двориков пр., 5с.",389900000.0,107766.72194582643,False
"Торговая площадь, 54 м²",6500000,"Мебельная ул., 16Чистополь",https://www.avito.ru/chistopol/kommercheskaya_nedvizhimost/torgovaya_ploschad_54_m_4508640370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,23 декабря 2024,с улицы,54.0,1.0,офисная,продажа,,жилой дом,"на улице, бесплатная",55.381859,50.679589,2.5 м,,,в эксплуатации,,есть,центральное,первая линия,,Чистополь,Мебельная ул.,6500000.0,120370.37037037036,False
"Свободного назначения с арендаторами(габ), 255 кв",16950000,"пр-т Химиков, 15БНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_s_arendatoramigab_255_kv_4622400369?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,23 декабря 2024,с улицы,255.0,1.0,чистовая,продажа,,административное здание,на улице,55.62275696,51.78985214,,,,в эксплуатации,,есть,,вторая линия и дальше,,Нижнекамск,пр-т Химиков,16950000.0,66470.58823529411,False
"Свободного назначения, 131.9 м² с НДС",19500000,"мкр-н Замелекесье, 20-й мкр-н, 6Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_131.9_m_s_nds_4328267764?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,22 декабря 2024,с улицы,131.9,1.0,офисная,продажа,,жилой дом,"на улице, бесплатная",55.681635,52.333127,,220 кВт,,в эксплуатации,,есть,центральное,первая линия,30.0,Набережные Челны,"мкр-н Замелекесье, 20-й мкр-н",19500000.0,147839.27217589083,False
Свободного назначения,17880000,"ул. Мазита Гафури, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_4612011067?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,20 декабря 2024,с улицы,145.4,1.0,без отделки,продажа,,жилой дом,"на улице, бесплатная",55.7714119,49.10360336,,"5 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,,Казань,ул. Мазита Гафури,17880000.0,122971.11416781292,False
Свободного назначения,9990000,"Горсоветская ул., 25Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_4698136223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,18 декабря 2024,со двора,43.0,1.0,офисная,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.817055473812346,49.08562539766452,3.1 м,15 кВт,,в эксплуатации,,есть,центральное,вторая линия и дальше,,Казань,Горсоветская ул.,9990000.0,232325.58139534883,False
"Свободного назначения, 48.5 м²",8245000,"ул. Марата Ахметшина, 4с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_48.5_m_4590470621?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,48.5,1.0,без отделки,продажа,,жилой дом,на улице,55.86888780703876,48.87344021691892,,,,в эксплуатации,,,,,,Осиново,"ул. Марата Ахметшина, 4с.",8245000.0,170000.0,False
"Свободного назначения, 65.8 м²",10199000,"ул. Марата Ахметшина, 4с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_65.8_m_4590363903?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,65.8,1.0,без отделки,продажа,,жилой дом,на улице,55.868924002619416,48.87346167459103,,,,в эксплуатации,,,,,,Осиново,"ул. Марата Ахметшина, 4с.",10199000.0,155000.0,False
"Свободного назначения, 79 м²",12245000,"ул. Марата Ахметшина, 4с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_79_m_4589495332?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,79.0,1.0,без отделки,продажа,,жилой дом,на улице,55.86903258915808,48.873161267181366,,,,в эксплуатации,,,,,,Осиново,"ул. Марата Ахметшина, 4с.",12245000.0,155000.0,False
"Свободного назначения, 73.1 м²",11330500,"ул. Марата Ахметшина, 2с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_73.1_m_4590350281?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,73.1,1.0,без отделки,продажа,,жилой дом,на улице,55.86929802163576,48.87453455819699,,,,в эксплуатации,,,,,,Осиново,"ул. Марата Ахметшина, 2с.",11330500.0,155000.0,False
"Свободного назначения, 94.1 м²",14115000,"ул. Марата Ахметшина, 2с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_94.1_m_4590038151?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,94.1,1.0,без отделки,продажа,,жилой дом,на улице,55.86928819452677,48.87432192341632,,,,в эксплуатации,,,,,,Осиново,"ул. Марата Ахметшина, 2с.",14115000.0,150000.0,False
"Свободного назначения, 47.1 м²",8007000,"ул. Марата Ахметшина, 2с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_47.1_m_4589679964?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,47.1,1.0,без отделки,продажа,,жилой дом,на улице,55.869370411995305,48.87438435449215,,,,в эксплуатации,,,,,,Осиново,"ул. Марата Ахметшина, 2с.",8007000.0,170000.0,False
"Свободного назначения, 60.1 м²",9315500,"ул. Марата Ахметшина, 2с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_60.1_m_4590425139?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,60.1,1.0,без отделки,продажа,,жилой дом,на улице,55.86926546149537,48.87438776455686,,,,в эксплуатации,,,,,,Осиново,"ул. Марата Ахметшина, 2с.",9315500.0,155000.0,False
"Торговая площадь, 386.6 м²",92784000,"Спартаковская ул., 2к1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_386.6_m_4396919869?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,386.6,1.0,чистовая,продажа,помещение сдано,торговый центр,на улице,55.781169083917725,49.12689519273251,,,,в эксплуатации,,есть,центральное,первая линия,,Казань,Спартаковская ул.,92784000.0,240000.0,False
Торговая площадь,7500000,"Октябрьская ул., 17с. Осиново",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/torgovaya_ploschad_4698358570?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,12 декабря 2024,с улицы,145.2,1.0,чистовая,продажа,,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.881561,48.869304,3 м,,,в эксплуатации,,есть,центральное,первая линия,,Осиново,"Октябрьская ул., 17с.",7500000.0,51652.89256198348,False
"Свободного назначения, 137 м²",12500000,"пр-т Габдуллы Тукая, 9Ас4Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_137_m_4626540041?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,11 декабря 2024,со двора,137.0,1.0,чистовая,продажа,помещение сдано,другой,"на улице, бесплатная",54.91058046256059,52.31611872078735,,"8 кВт, можно увеличить",,в эксплуатации,,есть,автономное,вторая линия и дальше,4.0,Альметьевск,пр-т Габдуллы Тукая,12500000.0,91240.87591240875,False
"Продается габ (аптека и русалка), 136кв.м",38000000,"Маршальская ул., 25Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodaetsya_gab_apteka_i_rusalka_136kv.m_4628365278?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,11 декабря 2024,с улицы,136.0,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.768618,49.165793,3 м,30 кВт,,в эксплуатации,,есть,центральное,первая линия,,Казань,Маршальская ул.,38000000.0,279411.76470588235,False
"Склад, 63.5 м²",4000000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_63.5_m_4406113596?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,11 декабря 2024,с улицы,63.5,1.0,чистовая,продажа,,другой,"на улице, бесплатная",55.725032,49.113942,,,,в эксплуатации,B,есть,нет,,,Казань,Южно-Промышленная ул.,4000000.0,62992.12598425197,False
Теплый склад -производство 1490 м2 В+ класса в Новониколаевке М7 с воротами на нуле,150000000,территория Промышленная Площадка Индустриальный Парк М-7 № 2Казань,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/teplyy_sklad_-proizvodstvo_1490_m2_v_klassa_v_novonikolaevke_m7_s_vorotami_na_nule_4295947648?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V0FGbktRdGdGemhpb2txIjt9zPkViD8AAAA,11 декабря 2024,со двора,1490.0,1.0,чистовая,продажа,,другой,на улице,55.886983,48.956638,8 м,,,,,,,,,Казань,территория Промышленная Площадка Индустриальный Парк М-7 №,150000000.0,100671.14093959732,False
